,setosa,versicolor,virginica,accuracy,macro avg,weighted avg
precision,0.9285714285714286,0.8333333333333334,0.7,0.8333333333333334,0.8206349206349207,0.839047619047619
recall,1.0,0.5555555555555556,0.875,0.8333333333333334,0.8101851851851851,0.8333333333333334
f1-score,0.962962962962963,0.6666666666666667,0.7777777777777777,0.8333333333333334,0.8024691358024691,0.8246913580246914
support,13.0,9.0,8.0,0.8333333333333334,30.0,30.0
